A_sec,A_trab,fc,L1,L2,Pisos,Cm,Cv,vigas_sec_bf,vigas_sec_tf,vigas_sec_h,vigas_sec_tw,vigas_trab_bf,vigas_trab_tf,vigas_trab_h,vigas_trab_tw,col_b,col_h,col_e,ep4e_tp,ep4e_bp,ep4e_g,ep4e_pf,ep4e_perno,Resultados_Mpr_iz,Resultados_Mpr_der,Resultados_Sh_iz,Resultados_Sh_der,Resultados_Vu_iz,Resultados_Vu_der,Resultados_Mf_iz,Resultados_Mf_der,Resultados_Esfv_iz,Resultados_Esfv_der,Resultados_Efst_iz,Resultados_Efst_der,Resultados_Estreal_iz,Resultados_Estreal_der,Resultados_tp_min_iz,Resultados_tp_min_der,Refuerzo Adicional_Zp_iz,Refuerzo Adicional_Zp_der,Refuerzo Adicional_g_iz,Refuerzo Adicional_g_der
36,36,210,5.723481842347973,5.459891976929105,3,0.5919139190826241,0.16566962045025171,18.06443812706161,0.9403017415153158,25.39369178231675,0.2794231494290945,20.402133057028237,1.427015956869645,38.80404365928589,0.7792067510247498,39.67115952427793,38.84373614171701,0.6203828111334038,2.6737361803600566,29.458136763192037,12.738318285394811,3.6323302372817348,1.0760503492367874,52.883,52.883,19.402,19.402,33.721,33.721,59.425,59.425,10.193,10.193,113.0,113.0,96.364,96.364,2.125,2.125,38.804,38.804,64.681,64.681
50,50,280,6.633804257477417,5.513017052595024,4,0.5898284409480373,0.17578153783714223,13.99975786376084,0.7168403463525277,21.617466766554784,0.5626378249539674,17.74830058744161,1.113122940140567,52.43455970729284,0.9050118795395595,37.42428294950851,29.82292537431743,0.6016104528272431,2.2072534472060035,28.19772644094366,14.38927513522812,4.546927651073194,0.9352352817515964,73.48,73.48,26.217,26.217,36.881,36.881,83.149,83.149,14.758,14.758,113.0,113.0,129.996,129.996,2.363,2.363,52.435,52.435,63.713,63.713
36,50,210,4.946697063775385,5.0459897815263215,3,0.3346658946306476,0.32921070114476925,14.731193115693138,1.141105510920534,28.242160254652504,0.6615338735799183,15.72919096149008,0.792749835770877,58.84384165618095,0.7506913132076476,38.95590595941673,38.35647136293863,0.742089944062206,2.2634236839438318,28.078346631077075,15.155431085581112,4.443454994147656,0.8872024484809418,62.111,62.111,29.422,29.422,45.755,45.755,75.573,75.573,20.345,20.345,108.344,108.344,116.071,116.071,2.109,2.109,47.188,47.188,50.941,50.941
50,50,210,7.481092244553423,4.363455301259579,3,0.5230916872180815,0.20644775773003035,11.340789132658944,0.6281985580361014,33.77462586765487,0.48368387034109384,14.19948800326185,1.0544049691192683,57.031878762681,0.990376494862602,27.36820537424729,35.589372499621746,0.7023753935214083,3.3890844149003474,26.452457429536377,18.54006402451676,3.3131946418890807,1.0909113229298284,73.512,73.512,28.516,28.516,31.763,31.763,82.57,82.57,9.341,9.341,113.0,113.0,86.985,86.985,2.113,2.113,42.598,42.598,63.254,63.254
36,36,280,6.658631042560696,5.176226279386269,3,0.4284003814547179,0.3268752030220858,11.168892515334681,0.8164513081493827,29.46725614017084,0.6562561109963112,12.966026513055946,0.7726930796207899,56.134600746758,0.8933535043218476,26.7743805317075,27.619930425912994,0.3164815751424775,1.8534594925779784,27.677338428306435,12.027255018446986,3.797563111106129,0.9489936713100285,48.156,48.156,28.067,28.067,20.758,20.758,53.983,53.983,8.067,8.067,113.0,113.0,75.985,75.985,1.708,1.708,38.898,38.898,51.604,51.604
36,36,210,6.5328715827866235,7.488074404941692,3,0.5143354091958596,0.2671216455744981,19.1444051118916,1.1449554582758537,21.058698477243126,0.6584690883347701,22.07322843461082,1.5032517619536554,55.35480818480175,0.7592273372215708,36.429523491492986,26.043649863001505,0.6307504252466416,1.6607202466044069,28.864665057621977,10.738603345843709,3.6573031399803404,0.881687036839216,91.049,91.049,27.677,27.677,43.919,43.919,103.204,103.204,19.774,19.774,109.429,109.429,173.015,173.015,2.304,2.304,55.355,55.355,79.581,79.581
36,36,210,7.603034677963576,7.955737818483747,4,0.59768938702911,0.22931018716133933,12.94686629552248,0.96727771899481,25.131856837835247,0.6201592961879343,13.447837651201315,1.265078471237481,45.970206399180384,0.9299728835967167,27.93793335269857,28.894638039039155,0.339605830874105,2.8002125983197104,29.99083416816218,11.950475721520569,5.102371847301723,1.2364848413296157,47.33,47.33,22.985,22.985,18.535,18.535,51.591,51.591,4.243,4.243,113.0,113.0,52.972,52.972,1.988,1.988,40.344,40.344,55.817,55.817
50,36,210,5.865968298686118,4.583136323297476,1,0.37664736691674344,0.31613113459049125,13.41170694223275,0.8737310407594352,47.33044450642291,0.6641992899977714,14.946480876838912,0.7660829190545415,43.15285613461696,0.9463776934455678,34.69686054690362,33.30161334311562,0.4315911162134894,2.7602621754448844,29.92703458595628,17.82779939991872,3.5852570616587647,1.1683258880452208,35.329,35.329,21.576,21.576,21.376,21.376,39.942,39.942,5.481,5.481,113.0,113.0,48.449,48.449,1.653,1.653,43.153,43.153,46.717,46.717
36,36,210,7.84623098251968,5.4732857099655385,4,0.31747620410277977,0.22103456193441773,17.252695799603245,1.1811826735485367,36.36472038828609,0.5959380656379993,19.84038397409821,1.5718844819759947,34.081741305134415,0.40818424765679107,29.015398187488675,30.110266138655767,0.38812966484968586,1.6756285301158924,25.21377781642061,12.560197979221392,5.747193100674377,0.8612307330745488,43.868,43.868,17.041,17.041,17.791,17.791,46.9,46.9,8.395,8.395,113.0,113.0,136.5,136.5,2.516,2.516,34.082,34.082,56.251,56.251
36,36,280,4.111580991008319,6.440187503785493,4,0.42980064848724286,0.31472118923565495,12.001327049520452,1.0673994198919448,29.358542147586064,0.7347121149066109,17.53340595597649,1.1636357725053523,33.239605060937095,0.6826231413631153,30.554992777714816,33.886609746898635,0.5258809100327498,2.7598376984925204,15.971981897530538,13.887283392008346,3.938211014556235,0.7539401212566925,32.264,32.264,16.62,16.62,26.61,26.61,36.686,36.686,16.385,16.385,113.0,113.0,141.209,141.209,2.401,2.401,33.24,33.24,46.43,46.43
